,cve_mun,internet,idh
0,003,2311,0.6700
1,004,795,0.6650
2,008,4,0.5420
3,009,284,0.6320
4,010,626,0.5920
5,011,2301,0.7070
6,012,56,0.6720
7,013,1527,0.7800
8,014,765,0.6950
9,015,345,0.6460
10,016,1129,0.7340
11,017,20,0.6690
12,019,1,0.5090
13,020,1,0.4940
14,021,596,0.6840
15,022,147,0.6100
16,023,111,0.5670
17,024,18,0.5680
18,025,30,0.4760
19,026,1310,0.7400
20,027,14,0.6130
21,028,14793,0.8040
22,030,2015,0.7440
23,032,819,0.6770
24,033,83,0.6330
25,034,1662,0.7510
26,035,72,0.6250
27,036,106,0.6270
28,038,5233,0.7340
29,039,23219,0.7870
30,040,2627,0.7420
31,044,10742,0.7610
32,045,2248,0.7070
33,046,84,0.5940
34,047,488,0.5210
35,048,5271,0.7690
36,049,105,0.6060
37,050,32,0.5920
38,051,141,0.5770
39,052,136,0.6400
40,053,797,0.6800
41,054,185,0.6690
42,055,56,0.6710
43,058,396,0.6800
44,059,273,0.6940
45,061,1851,0.6180
46,062,172,0.6220
47,063,107,0.6390
48,065,2557,0.7850
49,066,194,0.6580
50,067,15,0.5110
51,068,3394,0.7720
52,069,517,0.7100
53,070,71,0.5740
54,071,1293,0.6780
55,072,175,0.6320
56,073,368,0.6370
57,074,171,0.7270
58,075,176,0.6100
59,076,5,0.4940
60,077,813,0.6780
61,078,23,0.6370
62,079,14,0.5240
63,080,96,0.6060
64,081,679,0.6360
65,082,419,0.6770
66,083,62,0.6010
67,084,29,0.6500
68,085,1954,0.7360
69,086,163,0.5480
70,087,43772,0.8170
71,088,56,0.6190
72,089,1165,0.7200
73,090,132,0.6590
74,091,328,0.6170
75,092,652,0.6480
76,093,269,0.7060
77,094,458,0.6450
78,095,203,0.5930
79,097,892,0.7380
80,099,155,0.6160
81,100,249,0.6510
82,101,1137,0.6250
83,102,3308,0.7110
84,104,30,0.5500
85,105,2218,0.7150
86,108,9925,0.7470
87,109,1409,0.6690
88,110,3,0.4390
89,111,383,0.6550
90,112,391,0.6920
91,114,161,0.6500
92,115,1286,0.7070
93,116,357,0.7000
94,117,176,0.6340
95,118,9934,0.8380
96,119,170,0.7100
97,120,127,0.6670
98,121,174,0.6310
99,123,2819,0.7120
100,124,3335,0.6940
101,125,333,0.6570
102,126,600,0.6950
103,127,27,0.4170
104,128,1300,0.6440
105,129,264,0.6680
106,130,455,0.6200
107,131,15237,0.8190
108,132,230,0.6190
109,133,1593,0.7120
110,134,676,0.6800
111,135,284,0.6530
112,138,2360,0.7960
113,141,2458,0.6470
114,142,216,0.6290
115,143,566,0.6280
116,144,242,0.6420
117,145,348,0.7380
118,146,3,0.5670
119,147,9,0.5120
120,148,460,0.6420
121,149,44,0.5400
122,150,79,0.6570
123,151,206,0.6200
124,152,144,0.6750
125,155,1167,0.6670
126,157,225,0.6480
127,158,256,0.6480
128,159,15,0.4380
129,160,1384,0.6640
130,161,509,0.6680
131,164,315,0.6910
132,165,13,0.5600
133,167,134,0.6430
134,168,35,0.5690
135,169,299,0.6190
136,171,10,0.5400
137,172,146,0.6190
138,173,328,0.6190
139,174,2227,0.7030
140,175,1626,0.6740
141,176,72,0.6680
142,178,477,0.7140
143,180,10,0.5640
144,181,498,0.6730
145,182,357,0.6760
146,183,1116,0.6240
147,186,151,0.7020
148,188,126,0.6040
149,189,6864,0.7600
150,190,13,0.6700
151,191,1308,0.7490
152,192,524,0.6820
153,193,45125,0.7970
154,195,1,0.5390
155,196,468,0.6820
156,199,29,0.5960
157,201,380,0.5930
158,202,7,0.5310
159,203,25,0.5800
160,204,2536,0.7420
161,205,328,0.7130
162,206,2080,0.7840
163,207,866,0.6760
164,208,874,0.6820
165,209,32,0.5820
166,210,53,0.5900
167,211,541,0.6900
